10,320,1746,10,39,
10,330,1867,7,39,
10,284,1613,8,30,
20,1231,4285,18,74,
20,1281,4156,17,79,
20,1284,4513,23,74,
30,3919,8679,31,149,
30,3815,8168,44,128,
30,3820,7935,35,129,
40,9257,13895,82,211,
40,8986,13925,82,208,
40,9446,13601,66,199,
50,18271,21056,120,301,
50,18559,21326,129,291,
50,18330,20520,98,312,
